"shark_ID","year","size_slow","size_fast","num_detections","num_receivers","n_rec_lagoon","n_inner_lagoon","n_outer_lagoon","n_rec_plat","n_rec_drop","n_rec_coast","min_date","max_date","n_tracking_days","tracking_period","binary_cat","binary_num","sex","sex_num","maturity_slow","mcp_area_100","mcp_area_95","mcp_area_90","mcp_area_80","mcp_area_75","mcp_area_70","mcp_area_60"
144,2014,202,202,8625,30,25,0,0,0,3,0,2014-02-09 01:07:05,2014-12-31 18:34:26,277,325.727,"exploratory",1,"m",0,"juvenile","39.192431567542","5.38003501532131","5.38003501532131","5.38003501532131","5.38003501532131","3.21085696678821","1.17036453773689"
144,2015,214.5,217.5,2374,20,17,0,0,0,1,0,2015-01-01 00:16:04,2015-12-28 05:51:52,185,361.233,"exploratory",1,"m",0,"juvenile","22.966253501696","7.6471395157849","1.81987921110576","0.637263279512048","0.637263279512048","0.637263279512048","0.257356030326843"
144,2016,227,233,323,17,16,0,0,0,0,0,2016-01-08 02:54:54,2016-12-26 03:11:43,58,353.012,"resident",0,"m",0,"mature","11.8876364514787","6.45846426216557","2.35297766048079","0.637263279512048","0.637263279512048","0.257356030326843","0.0735306702820361"
144,2017,239.5,248.5,56,6,6,0,0,0,0,0,2017-01-02 08:23:34,2017-06-13 19:15:03,14,162.452,"resident",0,"m",0,"mature","0.821089266486689","0.416672724669054","0.134805712313056","0.0367652637961209","0.0367652637961209","0","0"
148,2014,152,152,363,1,1,0,0,0,0,0,2014-03-16 07:39:11,2014-08-16 09:37:36,127,153.082,"resident",0,"f",1,"juvenile","NA","NA","NA","NA","NA","NA","NA"
306,2016,195,195,17173,29,26,0,0,0,0,0,2016-03-24 09:28:13,2016-12-31 22:56:27,282,282.561,"resident",0,"f",1,"juvenile","14.4122915234055","8.4010195373496","6.85685297437975","1.57480676464283","1.57480676464283","1.57480676464283","1.25616990744802"
306,2017,207.5,210.5,4052,25,20,0,0,0,1,0,2017-01-01 00:17:39,2017-03-12 06:14:10,54,70.248,"exploratory",1,"f",1,"juvenile","26.2512679887659","3.97069477571458","2.92900164816897","0.202211002217636","0","0","0"
306,2019,232.5,241.5,119,8,8,0,0,0,0,0,2019-10-25 16:02:31,2019-11-03 22:35:24,10,9.273,"resident",0,"f",1,"mature","2.94133131379255","1.41548953412253","1.41548953412253","1.41548953412253","1.15812497023034","1.15812497023034","1.15812497023034"
308,2016,166,166,2,2,2,0,0,0,0,0,2016-03-24 15:58:00,2016-03-24 17:55:35,1,0.082,"resident",0,"f",1,"juvenile","NA","NA","NA","NA","NA","NA","NA"
361,2016,199,199,5657,19,19,0,0,0,0,0,2016-05-21 16:52:13,2016-12-31 06:42:35,207,223.577,"resident",0,"f",1,"juvenile","7.2734792566402","5.38003501532131","5.38003501532131","5.38003501532131","2.69612733801326","1.58703960566052","1.17036453773689"
361,2017,211.5,214.5,5643,19,18,0,0,0,0,0,2017-01-01 04:33:16,2017-12-31 01:42:08,326,363.881,"resident",0,"f",1,"juvenile","8.79304461510823","5.5760955096231","2.83703252814056","1.04781061922005","0.986535577189028","0.986535577189028","0.575988237481028"
